metric_id,ticket_id,first_resolution_time,full_resolution_time,agent_work_time,requester_wait_time,reply_time,group_stations,assignee_stations,reopens,replies,assignee_updated_at,requester_updated_at,status_updated_at,initially_assigned_at,assigned_at,solved_at
1,1,7,168,79,168,3,1,1,0,4,2024-10-13 23:46:00,2024-10-07 00:32:21,2024-10-14 00:00:00,2024-10-07 02:55:01,2024-10-07 02:55:01,2024-10-14 00:00:00
2,2,7,192,57,192,4,1,1,0,4,2022-11-21 23:25:03,2022-11-21 12:14:20,2022-11-22 00:00:00,2022-11-14 03:26:42,2022-11-14 03:26:42,2022-11-22 00:00:00
3,3,0,0,14,18624,2,1,1,0,3,2024-11-17 18:15:10,2022-10-04 00:57:54,2023-10-25 05:00:19,2022-10-04 00:17:09,2022-10-04 00:17:09,
4,4,3,144,103,144,2,1,1,0,7,2024-07-14 23:13:04,2024-07-14 13:32:53,2024-07-15 00:00:00,2024-07-09 01:31:44,2024-07-09 01:31:44,2024-07-15 00:00:00
5,5,14,0,59,288,13,1,2,0,5,2024-11-14 21:21:42,2024-11-12 01:33:13,2024-11-12 07:34:20,2024-11-03 03:51:38,2024-11-03 12:17:01,
6,6,4,168,50,168,3,1,1,0,2,2023-04-10 22:43:14,2023-04-10 18:50:13,2023-04-11 00:00:00,2023-04-04 01:16:54,2023-04-04 01:16:54,2023-04-11 00:00:00
7,7,9,216,16,216,6,3,1,0,3,2024-08-23 22:24:59,2024-08-23 18:39:17,2024-08-24 00:00:00,2024-08-15 03:47:09,2024-08-15 03:47:09,2024-08-24 00:00:00
8,8,9,192,20,192,4,1,1,0,2,2024-06-16 23:02:32,2024-06-16 21:36:47,2024-06-17 00:00:00,2024-06-09 03:00:00,2024-06-09 03:00:00,2024-06-17 00:00:00
9,9,6,48,68,48,4,1,1,0,2,2022-10-12 22:08:13,2022-10-12 16:13:51,2022-10-13 00:00:00,2022-10-11 01:41:09,2022-10-11 01:41:09,2022-10-13 00:00:00
10,10,26,120,51,120,23,1,2,0,2,2023-05-26 22:03:52,2023-05-26 14:30:08,2023-05-27 00:00:00,2023-05-22 02:13:46,2023-05-22 21:20:11,2023-05-27 00:00:00
11,11,10,72,80,72,5,1,1,0,4,2024-06-07 23:09:19,2024-06-07 17:58:41,2024-06-08 00:00:00,2024-06-05 03:54:52,2024-06-05 03:54:52,2024-06-08 00:00:00
12,12,9,336,57,336,2,1,1,0,6,2023-03-20 22:44:19,2023-03-20 17:01:23,2023-03-21 00:00:00,2023-03-07 01:43:20,2023-03-07 01:43:20,2023-03-21 00:00:00
13,13,19,48,33,48,13,1,2,2,5,2024-03-05 23:33:53,2024-03-04 00:53:40,2024-03-06 00:00:00,2024-03-04 03:53:08,2024-03-04 12:56:28,2024-03-06 00:00:00
14,14,0,0,17,48,12,1,2,0,3,2024-11-19 19:09:07,2024-11-18 11:09:21,2024-11-19 00:43:50,2024-11-18 02:11:24,2024-11-18 11:49:39,
15,15,0,0,18,384,1,1,1,0,3,2024-11-19 23:52:20,2024-11-04 00:24:16,2024-11-10 16:43:58,2024-11-04 00:30:10,2024-11-04 00:30:10,
16,16,19,216,16,216,16,1,2,0,3,2024-09-21 22:47:28,2024-09-21 13:44:08,2024-09-22 00:00:00,2024-09-13 02:15:36,2024-09-13 14:30:08,2024-09-22 00:00:00
17,17,8,96,45,96,4,2,1,1,5,2023-12-12 22:58:23,2023-12-09 00:53:36,2023-12-13 00:00:00,2023-12-09 03:10:19,2023-12-09 03:10:19,2023-12-13 00:00:00
18,18,6,288,46,288,5,1,1,2,5,2022-11-05 22:52:02,2022-10-25 00:13:26,2022-11-06 00:00:00,2022-10-25 02:55:54,2022-10-25 02:55:54,2022-11-06 00:00:00
19,19,3,264,36,264,5,1,1,0,6,2024-05-22 23:14:12,2024-05-22 19:43:22,2024-05-23 00:00:00,2024-05-12 02:16:10,2024-05-12 02:16:10,2024-05-23 00:00:00
20,20,2,24,90,24,2,1,1,0,2,2024-04-04 23:45:40,2024-04-04 00:42:23,2024-04-05 00:00:00,2024-04-04 00:43:52,2024-04-04 00:43:52,2024-04-05 00:00:00
